bucket,action,count,bucket_total,rate_in_bucket,total_action_count,au_action_count,au_share_of_action
au,apply_patch,191,5025,0.03800995024875622,4823,191,0.03960190752643583
sim,apply_patch,4632,64975,0.07128895729126587,4823,191,0.03960190752643583
au,ask_user,94,5025,0.018706467661691543,2701,94,0.03480192521288412
sim,ask_user,2607,64975,0.04012312427856868,2701,94,0.03480192521288412
au,edit_file,882,5025,0.1755223880597015,11171,882,0.07895443559215827
sim,edit_file,10289,64975,0.1583532127741439,11171,882,0.07895443559215827
au,glob_pattern,89,5025,0.01771144278606965,5284,89,0.01684330052990159
sim,glob_pattern,5195,64975,0.07995382839553675,5284,89,0.01684330052990159
au,grep_search,550,5025,0.10945273631840796,9912,550,0.055488297013720746
sim,grep_search,9362,64975,0.1440861869949981,9912,550,0.055488297013720746
au,lint_or_typecheck,281,5025,0.05592039800995025,2283,281,0.12308366184844503
sim,lint_or_typecheck,2002,64975,0.030811850711812236,2283,281,0.12308366184844503
au,list_directory,109,5025,0.021691542288557214,4329,109,0.025179025179025177
sim,list_directory,4220,64975,0.06494805694497884,4329,109,0.025179025179025177
au,plan_task,169,5025,0.0336318407960199,2679,169,0.06308324001493094
sim,plan_task,2510,64975,0.038630242400923435,2679,169,0.06308324001493094
au,read_file,1291,5025,0.2569154228855721,9257,1291,0.13946202873501135
sim,read_file,7966,64975,0.12260100038476338,9257,1291,0.13946202873501135
au,respond_only,346,5025,0.06885572139303482,5178,346,0.0668211664735419
sim,respond_only,4832,64975,0.07436706425548288,5178,346,0.0668211664735419
au,run_bash,496,5025,0.09870646766169154,5068,496,0.0978689818468824
sim,run_bash,4572,64975,0.07036552520200078,5068,496,0.0978689818468824
au,run_tests,331,5025,0.06587064676616916,4561,331,0.07257180442885332
sim,run_tests,4230,64975,0.0651019622931897,4561,331,0.07257180442885332
au,web_search,118,5025,0.023482587064676617,1273,118,0.09269442262372349
sim,web_search,1155,64975,0.017776067718353213,1273,118,0.09269442262372349
au,write_file,78,5025,0.015522388059701492,1481,78,0.05266711681296422
sim,write_file,1403,64975,0.0215929203539823,1481,78,0.05266711681296422
