candidate,alpha,group_macro_f1,group_delta_vs_blend,league_macro_f1_vs_4way,delta_vs_4way,league_macro_f1_vs_soft_au,delta_vs_soft_au,changed_group_vs_blend
cross:open_files_empty&git_dirty=false,0.5,0.5776416740934229,-0.005756811736871259,0.7218050668897623,-0.0007407583311215271,0.7380456005982063,-0.0007266806670139792,40
cross:open_files_empty&git_dirty=false,0.6,0.5784912719444822,-0.004907213885811945,0.7215987579774145,-0.0009470672434693794,0.737842044912893,-0.0009302363523273627,58
cross:open_files_empty&git_dirty=false,0.7,0.5762228615539439,-0.007175624276350323,0.7207088445713968,-0.0018369806494870078,0.736958867675382,-0.0018134135898383308,81
cross:open_files_empty&git_dirty=false,0.8,0.5599109678466505,-0.02348751798364368,0.7178615605140451,-0.004684264706838692,0.7341177639208029,-0.004654517344417464,154
cross:open_files_empty&git_dirty=false,0.9,0.4978120893613281,-0.0855863964689661,0.7091024226125452,-0.01344340260833865,0.7254255542142259,-0.013346727050994378,334
open_files_empty,0.5,0.6266691852185937,-0.00637125419375828,0.7214451943964164,-0.00110063082446743,0.7376971526539309,-0.0010751286112894443,97
open_files_empty,0.6,0.6234844788408268,-0.00955596057152519,0.7194822238474297,-0.0030636013734541834,0.7357469000823116,-0.0030253811829087374,145
open_files_empty,0.7,0.6159294000852756,-0.01711103932707636,0.7168998734084553,-0.005645951812428551,0.7331898230267873,-0.0055824582384330634,229
open_files_empty,0.8,0.5992915614016701,-0.03374887801068194,0.7092196130998455,-0.01332621212103835,0.7255022996438617,-0.013269981621358617,411
open_files_empty,0.9,0.5445244819915694,-0.08851595742078255,0.6874389304766882,-0.035106894744195594,0.7036830693468411,-0.035089211918379215,816
turn_index>=12,0.5,0.6392119892908544,0.006105957823550279,0.7230014389563335,0.000455613735449667,0.7392375276093739,0.00046524634415356925,15
turn_index>=12,0.6,0.6407805214592341,0.007674489991929989,0.7231183129399165,0.0005724877190326216,0.7393560646519584,0.0005837833867380349,19
turn_index>=12,0.7,0.6375319573910173,0.004425925923713159,0.7228271195766752,0.00028129435579138384,0.7390596758054409,0.00028739454022053135,30
turn_index>=12,0.8,0.6199099995676475,-0.01319603189965668,0.7216557524145957,-0.0008900728062881669,0.7378851722512492,-0.0008871090139711546,50
turn_index>=12,0.9,0.5598943164764266,-0.07321171499087753,0.7183145414490445,-0.004231283771839345,0.7345777856068115,-0.004194495658408792,117
git_dirty=false,0.5,0.6336328375493477,-0.0017646404659865667,0.7216904288869452,-0.0008553963339386073,0.7379405961542859,-0.0008316851109344547,61
git_dirty=false,0.6,0.6363945894215435,0.0009971114062091724,0.7219521701891927,-0.000593655031691176,0.7382127027783729,-0.0005595784868474007,81
git_dirty=false,0.7,0.6338313617173279,-0.0015661162980064036,0.7207630894731022,-0.0017827357477816497,0.737050342437004,-0.0017219388282163628,126
git_dirty=false,0.8,0.6167589487596438,-0.01863852925569054,0.716755588577413,-0.005790236643470892,0.7330358833234886,-0.005736397941731752,206
git_dirty=false,0.9,0.559627275629343,-0.0757702023859913,0.7019703595599547,-0.02057546566092916,0.7182834466017127,-0.020488834663507594,460
turn_index>=8,0.5,0.6568097450724295,-0.0038645437876726474,0.7218660730151344,-0.0006797522057494509,0.7381123681174551,-0.0006599131477652564,56
turn_index>=8,0.6,0.6565998276922848,-0.0040744611678174,0.721980288996798,-0.0005655362240858386,0.7382348825577754,-0.0005373987074449582,84
turn_index>=8,0.7,0.655352189344855,-0.005322099515247203,0.7218754488061674,-0.0006703764147164559,0.7381362950210499,-0.0006359862441703834,131
turn_index>=8,0.8,0.6406597234657575,-0.020014565394344652,0.718003307577732,-0.004542517643151833,0.7342912502452066,-0.004481031020013737,234
turn_index>=8,0.9,0.5611926148417551,-0.09948167401834707,0.6963682060082009,-0.026177619212682912,0.7124945716074246,-0.026277709657795745,568
turn_index>=10,0.5,0.6701946952824315,-2.3273628791620204e-05,0.7226040998501518,5.827462926799587e-05,0.738839334590918,6.705332569767464e-05,26
turn_index>=10,0.6,0.6681938578045931,-0.0020241111066300332,0.7224102358097871,-0.00013558941109670375,0.7386434770820214,-0.00012880418319893838,43
turn_index>=10,0.7,0.6664066782644319,-0.003811290646791199,0.7224174596689074,-0.0001283655519764837,0.7386648778227707,-0.0001074034424496384,63
turn_index>=10,0.8,0.6558170325589544,-0.01440093635226869,0.721038075074117,-0.0015077501467668508,0.737288399762457,-0.0014838815027633512,110
turn_index>=10,0.9,0.5886859199908443,-0.0815320489203788,0.7117133874453142,-0.010832437775569637,0.7279790509991092,-0.01079323026611112,286
history_len>=10,0.5,0.6889809600048915,0.0018513506169786087,0.7229683374926452,0.0004225122717613772,0.7392116349009378,0.00043935363571745434,117
history_len>=10,0.6,0.6861180985342207,-0.0010115108536922213,0.7222058488110118,-0.0003399764098720448,0.738467800411836,-0.00030448085338430353,156
history_len>=10,0.7,0.687092707188677,-3.690219923591087e-05,0.722044985900338,-0.0005008393205457873,0.7382920158884158,-0.00048026537680456727,235
history_len>=10,0.8,0.675696867257451,-0.01143274213046186,0.7155508301221388,-0.006994995098745016,0.7317844242477509,-0.006987857017469401,445
history_len>=10,0.9,0.5865788158044076,-0.10055079358350527,0.6776680892235524,-0.04487773599733147,0.6936908153064358,-0.045081465958784483,1042
