variant,alpha,league_macro_f1,delta_vs_3way,delta_vs_task3_hard,au_macro_f1,changed_au_vs_blend
au_only_char_C1,0.9,0.7331368345484081,0.01587761706533919,0.00652378694840805,0.7637084933738488,269
au_only_word_char_C1,0.9,0.7327634663602491,0.015504248877180271,0.006150418760249132,0.7749565415336409,293
au_only_word_char_C0.5,0.9,0.7325434019083639,0.015284184425295,0.005930354308363861,0.7602777475626862,270
au_only_char_C0.5,0.9,0.7310737616169313,0.013814544133862405,0.0044607140169312665,0.7226286630057335,239
au_only_word_char_C0.25,0.9,0.7308006434705104,0.013541425987441569,0.00418759587051043,0.7206169941772481,238
au_only_word_C1,0.9,0.7306299713898515,0.013370753906782662,0.004016923789851523,0.7359361502590874,284
au_only_char_C1,1.0,0.7302270862463524,0.012967868763283485,0.0036140386463523466,0.7441575323712037,389
au_only_word_char_C1,1.0,0.7296910148494751,0.012431797366406205,0.0030779672494750665,0.7413923634822769,382
au_only_word_C0.5,0.9,0.7287112687183793,0.011452051235310456,0.0020982211183793176,0.6891487085903056,238
au_only_word_char_C0.5,1.0,0.7286929405373418,0.011433723054272926,0.0020798929373417874,0.7376862199552839,388
au_only_char_C0.5,1.0,0.7280636497182581,0.010804432235189232,0.001450602118258093,0.7180987119469425,391
au_only_char_C0.25,0.9,0.7279528139500344,0.01069359646696555,0.0013397663500344104,0.6679029315121789,193
au_only_word_char_C0.25,1.0,0.7275758587377535,0.010316641254684678,0.0009628111377535387,0.7099085511892496,390
au_only_word_char_C1,0.7,0.7268320081481983,0.009572790665129394,0.00021896054819825483,0.6357853424615953,155
au_only_word_C1,1.0,0.7265441440195978,0.009284926536528904,-6.890358040223532e-05,0.6867505289790525,391
au_only_char_C1,0.7,0.7265235523116808,0.009264334828611887,-8.949528831925235e-05,0.6416292650342409,134
au_only_word_C0.25,0.9,0.7263559548106399,0.009096737327570992,-0.0002570927893601471,0.6509367212165522,181
au_only_char_C0.25,1.0,0.7259981829865446,0.008738965503475749,-0.0006148646134553903,0.6724352546677033,390
au_only_word_char_C0.5,0.7,0.7252837655340346,0.008024548050965752,-0.001329282065965387,0.6224458728066024,128
au_only_word_C0.5,1.0,0.7247101294525118,0.007450911969442919,-0.0019029181474882195,0.6525014790351532,400
au_only_word_C1,0.7,0.7241465128393347,0.006887295356265866,-0.0024665347606652732,0.6061712632684811,124
au_only_char_C0.5,0.7,0.7238011410521209,0.006541923569052033,-0.002811906547879106,0.6043690579358795,98
all_nonholdout_word_char_C0.5_auWeight10,0.7,0.7231096234477807,0.005850405964711869,-0.00350342415221927,0.561336626027179,174
au_only_word_char_C0.25,0.7,0.7230119052336821,0.005752687750613217,-0.003601142366317922,0.5937013928124332,92
all_nonholdout_word_char_C0.5_auWeight5,0.7,0.7228677672856604,0.0056085498025915115,-0.0037452803143396274,0.5608004427701401,158
au_only_word_char_C1,0.5,0.7227577469015014,0.005498529418432541,-0.0038553006984985982,0.5909278091469936,78
au_only_word_C0.25,1.0,0.7225486320125025,0.005289414529433656,-0.004064415587497483,0.6134806495556674,403
all_nonholdout_word_char_C0.5_auWeight10,0.9,0.7221991992999781,0.004939981816909245,-0.004413848300021894,0.5580045295449659,293
au_only_word_C0.5,0.7,0.7218948376191999,0.004635620136131058,-0.004718209980800081,0.5784268268036541,86
all_nonholdout_word_char_C0.5_auWeight5,0.9,0.7217505924692406,0.004491374986171692,-0.004862455130759447,0.5488697756551116,278
all_nonholdout_word_char_C0.5_auWeight10,0.5,0.7217295433316814,0.004470325848612511,-0.004883504268318628,0.5547519020361958,92
au_only_char_C1,0.5,0.7216713894781773,0.00441217199510846,-0.0049416581218226785,0.5797031873300568,61
all_nonholdout_word_char_C0.5_auWeight1,0.7,0.7214519343615969,0.004192716878528069,-0.00516111323840307,0.5380683580068923,130
au_only_char_C0.25,0.7,0.7214291451021893,0.004169927619120384,-0.005183902497810755,0.5789794823351869,62
au_only_word_char_C0.5,0.5,0.7212455992402943,0.003986381757225432,-0.0053674483597057066,0.5675544022980749,56
all_nonholdout_word_char_C0.5_auWeight5,0.5,0.7209835191542887,0.003724301671219843,-0.005629528445711296,0.5441361862913943,81
all_nonholdout_word_char_C0.5_auWeight5,1.0,0.720707337995693,0.003448120512624109,-0.00590570960430703,0.5259106895801235,342
all_nonholdout_word_char_C0.5_auWeight10,1.0,0.7206493254305592,0.003390107947490284,-0.005963722169440855,0.5273098893628361,346
au_only_word_C1,0.5,0.720300046302899,0.0030408288198301436,-0.006313001297100995,0.5515912853429721,45
all_nonholdout_word_char_C0.5_auWeight1,0.9,0.7202897178405346,0.0030305003574657707,-0.006323329759465368,0.51849457136377,252
au_only_char_C0.5,0.5,0.7200627332532619,0.002803515770192999,-0.00655031434673814,0.5600423366345767,36
all_nonholdout_word_char_C0.5_auWeight1,0.5,0.7197505191383845,0.0024913016553156364,-0.0068625284616155025,0.5292915497313502,62
au_only_word_C0.25,0.7,0.7194660055771839,0.0022067880941150086,-0.00714704202281613,0.5469962533704318,42
au_only_word_char_C0.25,0.5,0.7192641304617163,0.002004912978647466,-0.007348917138283673,0.5416809123639319,27
au_only_word_C0.5,0.5,0.71873193205402,0.0014727145709511058,-0.007881115545980033,0.532308332157782,23
au_only_char_C0.25,0.5,0.7186048312508878,0.0013456137678189428,-0.008008216349112196,0.5349684515316808,18
au_only_word_C0.25,0.5,0.71814754126497,0.0008883237819011791,-0.00846550633502996,0.5263307922192086,15
all_nonholdout_word_char_C0.5_auWeight1,1.0,0.717678223842028,0.0004190063589590842,-0.008934823757972055,0.4702686422095573,323
