component,segment,rows,macro_f1
linear,all,9969,0.6676495541547487
linear,hist0,1293,0.41364205456385206
linear,non_hist0,8676,0.6712614417665131
stacker,all,9969,0.7056611366010784
stacker,hist0,1293,0.40224732508963024
stacker,non_hist0,8676,0.7052700497614915
encoder_proxy,all,9969,0.7050885469078851
encoder_proxy,hist0,1293,0.3997263111635858
encoder_proxy,non_hist0,8676,0.7072383417182565
blend,all,9969,0.7172592174830689
blend,hist0,1293,0.4020778149347726
blend,non_hist0,8676,0.7188719681057395
