signal,n_rows_on,coverage_of_explore,top_class_given_on,precision_on,recall_of_top_class
n_open_files_gt0,15726,0.5463831561392537,grep_search,0.435902327355971,0.6915859564164649
mentions_all_of_type,79,0.0027447710374539644,grep_search,0.4050632911392405,0.003228410008071025
mentions_search_verb,3889,0.13511917170453755,grep_search,0.39058884031884805,0.15324858757062146
last_args_had_path,8627,0.2997359460774095,grep_search,0.3812449287121827,0.33182001614205003
last_args_had_scope,4911,0.1706274755055243,read_file,0.3703929953166361,0.19649994598682077
has_quoted_term,450,0.015634771732332707,grep_search,0.36666666666666664,0.016646489104116223
mentions_definition,502,0.01744145646584671,grep_search,0.3665338645418327,0.018563357546408393
mentions_files_plural,854,0.029671322354249182,grep_search,0.36533957845433257,0.031476997578692496
last_args_had_pattern,7999,0.27791675352650963,grep_search,0.35354419302412804,0.2853107344632768
mentions_open_show,7629,0.26506149676881385,read_file,0.35207759863678073,0.29015879874689426
has_bare_filename,4459,0.15492321589882566,read_file,0.34940569634447183,0.16830506643621043
mentions_pattern_word,671,0.023313181849767217,grep_search,0.3472429210134128,0.02350686037126715
mentions_list_verb,595,0.020672642623862137,grep_search,0.34285714285714286,0.020581113801452784
mentions_file_singular,3077,0.10690709471197277,grep_search,0.3409164770880728,0.10583131557707828
has_explicit_path,2554,0.08873601556528386,grep_search,0.33790133124510574,0.08706618240516546
mentions_directory,923,0.032068654019873535,grep_search,0.3217768147345612,0.0299636803874092
