fold,lambda,macro_f1,first_step_macro_f1,non_first_macro_f1,n_first_valid
1,0.0,0.6625743253568295,0.4258555699038776,0.6641539583761867,1803
1,0.125,0.6635512682929187,0.3964885805995203,0.6641539583761867,1803
1,0.25,0.6631098069204654,0.36437229111571245,0.6641539583761867,1803
1,0.5,0.6612571327566573,0.29827845031818473,0.6641539583761867,1803
1,0.75,0.6579237542677582,0.22021972210973936,0.6641539583761867,1803
1,1.0,0.6556090910239135,0.2099915921136656,0.6641539583761867,1803
1,1.5,0.646913765877043,0.1754306467391334,0.6641539583761867,1803
1,2.0,0.6386911209250649,0.14469039657030816,0.6641539583761867,1803
2,0.0,0.6649019339656206,0.4085774526319624,0.665234309168662,1808
2,0.125,0.6653681833451214,0.3934707661574571,0.665234309168662,1808
2,0.25,0.6650813788868681,0.36862384534563686,0.665234309168662,1808
2,0.5,0.6615877861616167,0.27978396992931576,0.665234309168662,1808
2,0.75,0.6594102067855377,0.22404138080799418,0.665234309168662,1808
2,1.0,0.6575394007454133,0.21502831272266842,0.665234309168662,1808
2,1.5,0.6489974653994173,0.17967952074929752,0.665234309168662,1808
2,2.0,0.640044175105803,0.14105061445296527,0.665234309168662,1808
3,0.0,0.6621988063339282,0.4191973133230505,0.662092914452052,1792
3,0.125,0.6628596725402385,0.4019363611963076,0.662092914452052,1792
3,0.25,0.6619621968752039,0.3708781517287947,0.662092914452052,1792
3,0.5,0.6584805056395379,0.29837916438221795,0.662092914452052,1792
3,0.75,0.6555706568145748,0.22923765110282665,0.662092914452052,1792
3,1.0,0.653350162811017,0.20847436250563986,0.662092914452052,1792
3,1.5,0.6447066214058295,0.17212143234878802,0.662092914452052,1792
3,2.0,0.6366903380166561,0.14069613881188495,0.662092914452052,1792
4,0.0,0.6631502077578088,0.4324339237629459,0.6595526370623696,1796
4,0.125,0.663629733037254,0.41362642541985395,0.6595526370623696,1796
4,0.25,0.6626232676002156,0.36952643386945744,0.6595526370623696,1796
4,0.5,0.6599822752946416,0.3132561409184236,0.6595526370623696,1796
4,0.75,0.6572685005432785,0.22089696360514993,0.6595526370623696,1796
4,1.0,0.6546749695610282,0.21170646668370044,0.6595526370623696,1796
4,1.5,0.6454101934171741,0.1784981724614192,0.6595526370623696,1796
4,2.0,0.6355405784540621,0.14103451545788473,0.6595526370623696,1796
5,0.0,0.6660743753542296,0.42074616644891405,0.6660267816507773,1801
5,0.125,0.6675775506832269,0.39713553976704846,0.6660267816507773,1801
5,0.25,0.6657351352468963,0.36109946874088744,0.6660267816507773,1801
5,0.5,0.6635138390602042,0.2899467166489824,0.6660267816507773,1801
5,0.75,0.6615908040555254,0.22491554622600238,0.6660267816507773,1801
5,1.0,0.6582332327034558,0.2107498643889783,0.6660267816507773,1801
5,1.5,0.6509606877491845,0.17883642993069704,0.6660267816507773,1801
5,2.0,0.6413880898409258,0.1404500945847783,0.6660267816507773,1801
