fold,action,log_prior_shift_first_vs_global,train_global_rate,train_first_step_rate
1,read_file,0.21321797754188654,0.13223214285714285,0.1638182576073364
1,grep_search,-0.1726453710889042,0.14158928571428572,0.11921634014172572
1,list_directory,1.1791335872880284,0.061839285714285715,0.20133388912046687
1,glob_pattern,-0.19493358350176937,0.0755,0.062109212171738225
1,edit_file,-1.8551162570474522,0.1595892857142857,0.024871474225371684
1,write_file,1.3067066934961225,0.021160714285714286,0.07822703904404613
1,apply_patch,-4.5989905284690415,0.06891071428571428,0.0005557871335278589
1,run_bash,0.45402845006240033,0.07239285714285715,0.11407530915659303
1,run_tests,-1.5373679081795433,0.06516071428571428,0.013894678338196471
1,lint_or_typecheck,-1.4901446212701508,0.032607142857142855,0.0072252327358621644
1,ask_user,0.5937812914279488,0.038589285714285715,0.06989023204112825
1,plan_task,1.1707869620912272,0.038267857142857145,0.12352369042656662
1,web_search,-0.3657235051501413,0.01817857142857143,0.012505210504376824
1,respond_only,-2.120539679023913,0.07398214285714286,0.008753647353063776
2,read_file,0.22235047179647194,0.13223214285714285,0.16532258064516128
2,grep_search,-0.20762660778356934,0.14160714285714285,0.11512791991101223
2,list_directory,1.186014926004915,0.061839285714285715,0.20272525027808677
2,glob_pattern,-0.1524674421567762,0.07548214285714286,0.06479421579532814
2,edit_file,-1.8108256313869875,0.15957142857142856,0.02600111234705228
2,write_file,1.3162265017331154,0.021160714285714286,0.07897664071190211
2,apply_patch,-4.415716245145108,0.06889285714285714,0.0006952169076751947
2,run_bash,0.44124973473035434,0.07239285714285715,0.11262513904338153
2,run_tests,-1.6191953062588262,0.06516071428571428,0.012791991101223582
2,lint_or_typecheck,-1.3494162406763293,0.032625,0.008342602892102336
2,ask_user,0.5885047500501663,0.038589285714285715,0.06952169076751946
2,plan_task,1.167637798111917,0.038285714285714284,0.1231924360400445
2,web_search,-0.44507258721495635,0.01817857142857143,0.011540600667408231
2,respond_only,-2.1678552726015528,0.07398214285714286,0.008342602892102336
3,read_file,0.23252380454655674,0.13225,0.1670366259711432
3,grep_search,-0.1895453138420058,0.14160714285714285,0.11723085460599333
3,list_directory,1.1855624653208108,0.06185714285714286,0.2026914539400666
3,glob_pattern,-0.20970472827733966,0.07548214285714286,0.06118201997780244
3,edit_file,-1.856640541968096,0.1595892857142857,0.02483351831298557
3,write_file,1.3060259345639182,0.021142857142857144,0.07810765815760266
3,apply_patch,-4.417934155674473,0.06889285714285714,0.0006936736958934517
3,run_bash,0.43011646054303787,0.07241071428571429,0.11140399556048834
3,run_tests,-1.5096218108000738,0.06516071428571428,0.014289678135405106
3,lint_or_typecheck,-1.334826434697824,0.032607142857142855,0.008462819089900112
3,ask_user,0.5862868395208016,0.038589285714285715,0.06936736958934517
3,plan_task,1.1793242489160183,0.038267857142857145,0.12458379578246392
3,web_search,-0.47138804932338196,0.01817857142857143,0.011237513873473918
3,respond_only,-2.106318435546674,0.07396428571428572,0.008879023307436182
4,read_file,0.22055156136204568,0.13225,0.16504719600222098
4,grep_search,-0.1937306425712333,0.14160714285714285,0.11674069961132703
4,list_directory,1.176092210218918,0.061839285714285715,0.20072182121043863
4,glob_pattern,-0.16923410423722807,0.07548214285714286,0.06371460299833426
4,edit_file,-1.867259825931552,0.1595892857142857,0.024569683509161576
4,write_file,1.319821165091887,0.021160714285714286,0.07926152137701277
4,apply_patch,-4.417639239961061,0.06891071428571428,0.000694058856191005
4,run_bash,0.4231798054485494,0.07241071428571429,0.1106329816768462
4,run_tests,-1.6313961061176476,0.06514285714285714,0.01263187118267629
4,lint_or_typecheck,-1.4183555352736965,0.032607142857142855,0.007773459189339256
4,ask_user,0.6148642974266103,0.03857142857142857,0.07134925041643532
4,plan_task,1.190940325256546,0.038267857142857145,0.1260410882842865
4,web_search,-0.37872448267829206,0.01819642857142857,0.012354247640199888
4,respond_only,-2.1530173037625504,0.07396428571428572,0.00846751804553026
5,read_file,0.22292377558082688,0.13225,0.16543964439505487
5,grep_search,-0.22796049911226213,0.14158928571428572,0.11279344353382414
5,list_directory,1.185043984809281,0.061839285714285715,0.20252812890679261
5,glob_pattern,-0.17727483150692125,0.07548214285714286,0.06320322266981525
5,edit_file,-1.7960769954779459,0.1595892857142857,0.026392554521461314
5,write_file,1.3134965451323017,0.021160714285714286,0.07876093901930824
5,apply_patch,-4.416687186340742,0.06889285714285714,0.0006945409084595083
5,run_bash,0.44397110542184803,0.07239285714285715,0.11293235171551605
5,run_tests,-1.5988888490071758,0.06516071428571428,0.013057369079038756
5,lint_or_typecheck,-1.3669164838231733,0.032625,0.008195582719822198
5,ask_user,0.5855358061918592,0.038589285714285715,0.06931518266425893
5,plan_task,1.1861175441703051,0.038267857142857145,0.1254340880677872
5,web_search,-0.33454641803949237,0.01819642857142857,0.012918460897346854
5,respond_only,-2.16858487193527,0.07396428571428572,0.0083344909015141
