fold,model,macro_f1,explore_macro_f1
1,flat_14way,0.6625743253568295,0.5044198539777843
1,hier_explore_override,0.6805933426767451,0.526216607335488
1,hier_family_route,0.6866729292162007,0.5301924335849999
2,flat_14way,0.6649019339656206,0.516727443452522
2,hier_explore_override,0.6806342582165598,0.5347000030885264
2,hier_family_route,0.6884372140911087,0.5384121755185658
3,flat_14way,0.6621988063339282,0.5062115273674272
3,hier_explore_override,0.6806022314799532,0.5293640090831423
3,hier_family_route,0.6870597442971003,0.5347890437145413
4,flat_14way,0.6631502077578088,0.5093698737341987
4,hier_explore_override,0.6815574489504197,0.5320287315597675
4,hier_family_route,0.6887722970658591,0.5352400196232149
5,flat_14way,0.6660743753542296,0.5153551070136343
5,hier_explore_override,0.6828140786381784,0.5341209574628714
5,hier_family_route,0.6907742925149192,0.5382854024033523
